#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231112   21:42:33      0   7300   1882    402     15     21      3      0      0 
 20231112   21:42:34      0   7300   1882    402     15     25      4      0      0 
 20231112   21:42:35      0   7300   1882    402     15     24      3      0      0 
 20231112   21:42:36      0   7300   1882    402     15     26      4      0      0 
 20231112   21:42:37      0   7300   1882    402     15     22      3      0      0 
 20231112   21:42:38      0   7300   1882    402     15     25      4      0      0 
#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231112   21:42:39      0   7300   1882    402     15     24      3      0      0 
 20231112   21:42:40      0   7300   1882    402     15     26      4      0      0 
 20231112   21:42:41      0   7300   1882    402     15     23      3      0      0 
 20231112   21:42:42      0   7300   1882    402     15     19      3      0      0 
