#Date       Time        gpu   mclk   pclk     fb   bar1     sm    mem    enc    dec 
#YYYYMMDD   HH:MM:SS    Idx    MHz    MHz     MB     MB      %      %      %      % 
 20231116   06:20:10      0   7500   1882    301     13      2      1      0      0 
 20231116   06:20:11      0   7500   1882    301     13      0      0      0      0 
 20231116   06:20:12      0   7300   1882    657     16      1      0      0      0 
 20231116   06:20:13      0   7300   1882    807     16      0      0      0      0 
 20231116   06:20:14      0   7300   1882    573     16      3      1      0      0 
