09-08-2024 03:49:52 RAM 13052/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.562C tboard@29.375C soc2@37C tdiode@30.25C soc0@36.937C gpu@35.875C tj@40.562C soc1@36.125C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2289mW VIN_SYS_5V0 3533mW/3600mW VDDQ_VDD2_1V8AO 706mW/798mW
09-08-2024 03:49:52 RAM 13053/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1267,0%@1267,0%@1267,0%@1267,0%@729,33%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.468C tboard@29.375C soc2@37C tdiode@30.25C soc0@36.937C gpu@35.875C tj@40.468C soc1@36.031C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2297mW VIN_SYS_5V0 3533mW/3595mW VDDQ_VDD2_1V8AO 706mW/791mW
09-08-2024 03:49:52 RAM 13108/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@883,0%@883,0%@883,0%@883,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.375C soc2@36.968C tdiode@30.25C soc0@36.968C gpu@35.812C tj@40.343C soc1@35.843C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2303mW VIN_SYS_5V0 3533mW/3590mW VDDQ_VDD2_1V8AO 807mW/792mW
09-08-2024 03:49:52 RAM 13114/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,50%@2201,0%@2201,66%@1497,50%@1497,50%@1497,100%@1497,50%@1497,100%@1497,50%@1496,0%@2112] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.531C tboard@29.375C soc2@36.937C tdiode@30.25C soc0@36.812C gpu@35.937C tj@40.531C soc1@35.937C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2309mW VIN_SYS_5V0 3533mW/3586mW VDDQ_VDD2_1V8AO 807mW/793mW
09-08-2024 03:49:52 RAM 13117/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@1804,100%@1804,100%@1804,100%@1804] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.062C tboard@29.375C soc2@37.031C tdiode@30.25C soc0@36.781C gpu@35.968C tj@41.375C soc1@35.968C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2339mW VIN_SYS_5V0 3533mW/3583mW VDDQ_VDD2_1V8AO 807mW/794mW
09-08-2024 03:49:52 RAM 13120/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.593C tboard@29.375C soc2@37.25C tdiode@30.25C soc0@36.937C gpu@36C tj@41.593C soc1@36.093C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 3185mW/2389mW VIN_SYS_5V0 3533mW/3580mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:49:52 RAM 13122/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.812C tboard@29.375C soc2@37.312C tdiode@30.25C soc0@36.843C gpu@36.062C tj@41.812C soc1@36.062C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3584mW/2455mW VIN_SYS_5V0 3533mW/3577mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:49:52 RAM 13123/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,100%@2201,100%@2201,0%@2201,50%@2201,0%@2201,50%@2201,0%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.875C tboard@29.375C soc2@37.343C tdiode@30.25C soc0@36.937C gpu@35.906C tj@41.875C soc1@36.125C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2535mW VIN_SYS_5V0 3533mW/3575mW VDDQ_VDD2_1V8AO 807mW/796mW
09-08-2024 03:49:52 RAM 13125/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@2112,0%@2112,0%@2112,50%@2112,66%@2188,0%@2188,0%@2188,0%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.593C tboard@29.375C soc2@37.281C tdiode@30.25C soc0@36.937C gpu@36.25C tj@41.593C soc1@35.906C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2608mW VIN_SYS_5V0 3533mW/3573mW VDDQ_VDD2_1V8AO 807mW/796mW
09-08-2024 03:49:52 RAM 13128/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420,0%@1420] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.312C tboard@29.375C soc2@37.218C tdiode@30.25C soc0@36.968C gpu@35.968C tj@41.312C soc1@35.906C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2673mW VIN_SYS_5V0 3533mW/3571mW VDDQ_VDD2_1V8AO 807mW/797mW
