09-08-2024 03:49:42 RAM 13053/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@806,0%@806,0%@806,0%@806,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.25C soc2@36.937C tdiode@30C soc0@36.781C gpu@35.968C tj@40.375C soc1@35.812C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2390mW/2355mW VIN_SYS_5V0 3533mW/3558mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13053/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.25C soc2@36.812C tdiode@30C soc0@36.843C gpu@35.968C tj@40.343C soc1@35.781C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2390mW/2358mW VIN_SYS_5V0 3533mW/3556mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13054/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,50%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.312C tboard@29.25C soc2@36.906C tdiode@30C soc0@36.781C gpu@35.812C tj@40.312C soc1@35.781C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2390mW/2360mW VIN_SYS_5V0 3533mW/3554mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13085/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.218C tboard@29.25C soc2@36.875C tdiode@30C soc0@36.593C gpu@35.812C tj@40.218C soc1@35.843C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2390mW/2362mW VIN_SYS_5V0 3533mW/3553mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13115/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.156C tboard@29.25C soc2@36.968C tdiode@30C soc0@36.656C gpu@35.812C tj@40.156C soc1@35.781C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2390mW/2364mW VIN_SYS_5V0 3533mW/3551mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13117/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@1651,100%@1651,100%@1651,100%@1651,100%@1651,100%@1651,100%@1651,100%@1651] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.906C tboard@29.25C soc2@36.875C tdiode@30C soc0@36.75C gpu@35.781C tj@40.718C soc1@35.781C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2389mW VIN_SYS_5V0 3533mW/3550mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13120/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@1881,100%@1881,100%@1881,100%@1881,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.125C tboard@29.25C soc2@37.031C tdiode@30C soc0@36.718C gpu@35.75C tj@41.125C soc1@35.843C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 3185mW/2433mW VIN_SYS_5V0 3533mW/3549mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13123/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2112,100%@2112,100%@2112,100%@2112,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.406C tboard@29.25C soc2@37.062C tdiode@30C soc0@36.718C gpu@35.875C tj@41.406C soc1@35.906C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 3584mW/2494mW VIN_SYS_5V0 3533mW/3548mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13124/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.625C tboard@29.25C soc2@37.093C tdiode@30C soc0@36.75C gpu@35.75C tj@41.843C soc1@35.937C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2568mW VIN_SYS_5V0 3533mW/3548mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:42 RAM 13126/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,33%@2201,0%@1958,0%@1958,0%@1958,0%@1958,50%@2188,0%@2188,0%@2188,33%@2112] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.625C tboard@29.25C soc2@37.187C tdiode@30.125C soc0@36.687C gpu@35.875C tj@41.625C soc1@35.781C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2635mW VIN_SYS_5V0 3533mW/3547mW VDDQ_VDD2_1V8AO 706mW/802mW
