09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.25C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.468C gpu@35.593C tj@40.343C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2322mW VIN_SYS_5V0 3634mW/3634mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:49:32 RAM 13060/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.312C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.5C gpu@35.562C tj@40.312C soc1@35.656C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2327mW VIN_SYS_5V0 3533mW/3626mW VDDQ_VDD2_1V8AO 706mW/799mW
09-08-2024 03:49:32 RAM 13066/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,50%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.343C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.562C gpu@35.5C tj@40.343C soc1@35.781C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2332mW VIN_SYS_5V0 3533mW/3619mW VDDQ_VDD2_1V8AO 706mW/792mW
09-08-2024 03:49:32 RAM 13116/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.718C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.687C tj@40.718C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2335mW VIN_SYS_5V0 3634mW/3620mW VDDQ_VDD2_1V8AO 807mW/793mW
09-08-2024 03:49:32 RAM 13129/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1574,50%@1574,50%@1574,50%@1574,100%@2201,66%@2201,100%@2201,50%@2201,50%@1651,100%@1651,0%@1651,50%@1651] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.531C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.5C gpu@35.437C tj@40.531C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2339mW VIN_SYS_5V0 3634mW/3621mW VDDQ_VDD2_1V8AO 807mW/794mW
09-08-2024 03:49:32 RAM 13131/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2188,100%@2188,100%@2188,100%@2188,100%@2201,100%@2201,100%@2201,100%@2201,100%@1958,100%@1958,100%@1958,100%@1958] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.937C tboard@29.125C soc2@36.75C tdiode@29.75C soc0@36.5C gpu@35.812C tj@40.937C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 2787mW/2365mW VIN_SYS_5V0 3634mW/3622mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:49:32 RAM 13134/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.281C tboard@29.125C soc2@36.812C tdiode@29.75C soc0@36.562C gpu@35.687C tj@41.281C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3582mW/2433mW VIN_SYS_5V0 3533mW/3617mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:49:32 RAM 13135/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.531C tboard@29.125C soc2@36.937C tdiode@29.75C soc0@36.562C gpu@35.718C tj@41.531C soc1@35.75C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3582mW/2493mW VIN_SYS_5V0 3533mW/3612mW VDDQ_VDD2_1V8AO 807mW/796mW
09-08-2024 03:49:32 RAM 13137/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,0%@2201,50%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,50%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.656C tboard@29.125C soc2@36.937C tdiode@29.75C soc0@36.531C gpu@35.656C tj@41.656C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3980mW/2567mW VIN_SYS_5V0 3533mW/3608mW VDDQ_VDD2_1V8AO 706mW/791mW
09-08-2024 03:49:32 RAM 13140/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@1958,0%@1958,0%@1958,33%@1958,100%@2201,0%@2201,0%@2201,33%@2201,0%@1958,33%@1804,0%@1804,0%@1804] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.406C tboard@29.125C soc2@36.843C tdiode@29.75C soc0@36.437C gpu@35.531C tj@41.25C soc1@35.625C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2635mW VIN_SYS_5V0 3533mW/3605mW VDDQ_VDD2_1V8AO 706mW/787mW
