09-08-2024 03:38:25 RAM 13048/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@883,0%@883,0%@883,0%@883] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.75C tboard@32.25C soc2@39.343C tdiode@33C soc0@39.343C gpu@38.343C tj@42.75C soc1@38.531C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2787mW/2654mW VIN_SYS_5V0 3533mW/3626mW VDDQ_VDD2_1V8AO 807mW/807mW
09-08-2024 03:38:25 RAM 13048/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.75C tboard@32.25C soc2@39.312C tdiode@33C soc0@39.375C gpu@38.25C tj@42.75C soc1@38.5C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2633mW VIN_SYS_5V0 3533mW/3619mW VDDQ_VDD2_1V8AO 706mW/799mW
09-08-2024 03:38:25 RAM 13049/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.687C tboard@32.25C soc2@39.375C tdiode@33C soc0@39.406C gpu@38.437C tj@42.687C soc1@38.468C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2616mW VIN_SYS_5V0 3533mW/3613mW VDDQ_VDD2_1V8AO 706mW/792mW
09-08-2024 03:38:25 RAM 13092/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.687C tboard@32.25C soc2@39.312C tdiode@33C soc0@39.437C gpu@38.343C tj@42.687C soc1@38.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2601mW VIN_SYS_5V0 3533mW/3607mW VDDQ_VDD2_1V8AO 807mW/793mW
09-08-2024 03:38:25 RAM 13110/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,100%@2201,0%@2201,0%@2201,0%@729,50%@729,0%@729,0%@729,50%@729,50%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.75C tboard@32.25C soc2@39.375C tdiode@33C soc0@39.406C gpu@38.343C tj@42.75C soc1@38.468C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 2389mW/2588mW VIN_SYS_5V0 3634mW/3609mW VDDQ_VDD2_1V8AO 807mW/794mW
09-08-2024 03:38:25 RAM 13113/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@1728,100%@1728,100%@1728,100%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.406C tboard@32.25C soc2@39.562C tdiode@33C soc0@39.343C gpu@38.437C tj@43.406C soc1@38.375C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 2787mW/2599mW VIN_SYS_5V0 3634mW/3610mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:38:25 RAM 13116/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@1958,100%@1958,0%@1958,100%@1958] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.843C tboard@32.25C soc2@39.625C tdiode@32.75C soc0@39.375C gpu@38.375C tj@43.812C soc1@38.343C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3185mW/2632mW VIN_SYS_5V0 3533mW/3606mW VDDQ_VDD2_1V8AO 807mW/795mW
09-08-2024 03:38:25 RAM 13118/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,0%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.031C tboard@32.25C soc2@39.593C tdiode@32.75C soc0@39.343C gpu@38.593C tj@44.031C soc1@38.375C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3980mW/2703mW VIN_SYS_5V0 3533mW/3602mW VDDQ_VDD2_1V8AO 807mW/796mW
09-08-2024 03:38:25 RAM 13120/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,0%@2201,66%@2201,100%@2201,0%@2201,100%@2201,50%@2201,50%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.312C tboard@32.25C soc2@39.625C tdiode@32.75C soc0@39.375C gpu@38.406C tj@44.312C soc1@38.437C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 4378mW/2786mW VIN_SYS_5V0 3533mW/3599mW VDDQ_VDD2_1V8AO 706mW/791mW
09-08-2024 03:38:25 RAM 13122/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@2035,0%@2035,0%@2035,0%@2035,33%@1728,0%@1728,0%@1728,0%@1728] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.031C tboard@32.25C soc2@39.625C tdiode@32.75C soc0@39.375C gpu@38.593C tj@44.031C soc1@38.468C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2843mW VIN_SYS_5V0 3533mW/3596mW VDDQ_VDD2_1V8AO 706mW/787mW
