09-08-2024 03:49:28 RAM 13059/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.25C tboard@29.125C soc2@36.687C tdiode@29.75C soc0@36.437C gpu@35.625C tj@40.25C soc1@35.531C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2322mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13059/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@960,0%@960,0%@806,0%@806] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40C tboard@29.125C soc2@36.562C tdiode@29.75C soc0@36.437C gpu@35.562C tj@40C soc1@35.531C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2327mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13070/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40C tboard@29.125C soc2@36.656C tdiode@29.75C soc0@36.562C gpu@35.75C tj@40C soc1@35.656C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2332mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13118/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [33%@729,0%@729,0%@729,0%@729,0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.25C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.5C gpu@35.625C tj@40.25C soc1@35.5C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2389mW/2335mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13123/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1804,66%@1804,50%@1804,50%@1804,100%@2201,100%@2201,50%@2201,66%@2201,100%@1574,100%@1804,100%@1804,66%@1804] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.375C tboard@29.125C soc2@36.625C tdiode@29.75C soc0@36.468C gpu@35.468C tj@40.375C soc1@35.562C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 2787mW/2364mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13126/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1881,100%@1881,100%@1881,100%@1881,100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@40.687C tboard@29.125C soc2@36.718C tdiode@29.75C soc0@36.468C gpu@35.531C tj@40.968C soc1@35.593C VDD_GPU_SOC 2389mW/2389mW VDD_CPU_CV 3185mW/2412mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13128/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.281C tboard@29.125C soc2@36.812C tdiode@29.75C soc0@36.468C gpu@35.5C tj@41.281C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3584mW/2477mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13129/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.406C tboard@29.125C soc2@36.812C tdiode@29.75C soc0@36.468C gpu@35.406C tj@41.406C soc1@35.687C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2556mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13131/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2188,0%@2188,0%@2188,0%@2188,0%@2201,100%@2201,0%@2201,0%@2201,0%@2203,0%@2197,0%@2035,0%@2035] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.312C tboard@29.125C soc2@36.906C tdiode@29.75C soc0@36.531C gpu@35.531C tj@41.312C soc1@35.562C VDD_GPU_SOC 2388mW/2388mW VDD_CPU_CV 3982mW/2627mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
09-08-2024 03:49:28 RAM 13133/62841MB (lfb 93x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1728,50%@1728,0%@1728,100%@1728,0%@2201,100%@2201,0%@2201,0%@2201,0%@1497,0%@1497,0%@1497,0%@1497] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305,305] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.031C tboard@29.125C soc2@36.812C tdiode@29.75C soc0@36.406C gpu@35.625C tj@41.031C soc1@35.562C VDD_GPU_SOC 2389mW/2388mW VDD_CPU_CV 3982mW/2692mW VIN_SYS_5V0 3533mW/3533mW VDDQ_VDD2_1V8AO 706mW/706mW
