09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,50%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@1420,0%@1420,50%@1420,0%@1420] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.375C tboard@31.25C soc2@38C tdiode@31.5C soc0@38.062C tj@41.375C soc1@37.187C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/995mW VIN_SYS_5V0 2927mW/2783mW VDDQ_VDD2_1V8AO 504mW/461mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@1113,0%@1113,0%@1113,0%@1113] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.375C tboard@31.25C soc2@38C tdiode@31.5C soc0@38.031C tj@41.375C soc1@37.218C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/1010mW VIN_SYS_5V0 2927mW/2794mW VDDQ_VDD2_1V8AO 504mW/465mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@960,0%@960,0%@960,50%@960] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.406C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.062C tj@41.406C soc1@37.218C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/1023mW VIN_SYS_5V0 2927mW/2804mW VDDQ_VDD2_1V8AO 504mW/467mW
09-08-2024 03:35:14 RAM 12867/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,50%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.656C tboard@31.25C soc2@38.093C tdiode@31.5C soc0@38.156C tj@41.656C soc1@37.312C VDD_GPU_SOC 1592mW/1592mW VDD_CPU_CV 1194mW/1034mW VIN_SYS_5V0 2927mW/2812mW VDDQ_VDD2_1V8AO 504mW/470mW
09-08-2024 03:35:14 RAM 12902/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,50%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.5C tboard@31.25C soc2@38.031C tdiode@31.5C soc0@38.156C tj@41.5C soc1@37.25C VDD_GPU_SOC 1990mW/1616mW VDD_CPU_CV 1194mW/1044mW VIN_SYS_5V0 2927mW/2819mW VDDQ_VDD2_1V8AO 504mW/472mW
09-08-2024 03:35:14 RAM 12924/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.375C tboard@31.25C soc2@38.093C tdiode@31.5C soc0@38.156C tj@41.375C soc1@37.218C VDD_GPU_SOC 1990mW/1638mW VDD_CPU_CV 1194mW/1053mW VIN_SYS_5V0 3028mW/2831mW VDDQ_VDD2_1V8AO 604mW/480mW
09-08-2024 03:35:14 RAM 12931/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@1651,100%@1651,100%@1651,100%@1651,100%@2201,100%@2201,100%@2201,100%@2201,100%@1651,100%@1650,0%@1804,100%@1804] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.687C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.093C tj@41.687C soc1@37.343C VDD_GPU_SOC 1990mW/1658mW VDD_CPU_CV 1592mW/1083mW VIN_SYS_5V0 3028mW/2842mW VDDQ_VDD2_1V8AO 604mW/487mW
09-08-2024 03:35:14 RAM 12933/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2035,100%@2035,100%@2035,100%@2035] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.25C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.156C tj@42.25C soc1@37.343C VDD_GPU_SOC 1990mW/1675mW VDD_CPU_CV 1990mW/1131mW VIN_SYS_5V0 3028mW/2852mW VDDQ_VDD2_1V8AO 604mW/493mW
09-08-2024 03:35:14 RAM 12935/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,0%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2188,100%@2188,100%@2188,100%@2188] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.531C tboard@31.25C soc2@38.218C tdiode@31.5C soc0@38.062C tj@42.531C soc1@37.312C VDD_GPU_SOC 1990mW/1691mW VDD_CPU_CV 2388mW/1194mW VIN_SYS_5V0 3028mW/2861mW VDDQ_VDD2_1V8AO 604mW/498mW
09-08-2024 03:35:14 RAM 12937/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.843C tboard@31.25C soc2@38.5C tdiode@31.5C soc0@38.062C tj@42.843C soc1@37.25C VDD_GPU_SOC 1990mW/1705mW VDD_CPU_CV 2786mW/1269mW VIN_SYS_5V0 3028mW/2869mW VDDQ_VDD2_1V8AO 604mW/503mW
09-08-2024 03:35:14 RAM 12938/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,0%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,0%@2201] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43C tboard@31.25C soc2@38.531C tdiode@31.5C soc0@38.281C tj@43C soc1@37.25C VDD_GPU_SOC 1990mW/1718mW VDD_CPU_CV 3184mW/1356mW VIN_SYS_5V0 3028mW/2876mW VDDQ_VDD2_1V8AO 604mW/508mW
09-08-2024 03:35:14 RAM 12939/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@2201,0%@2201,0%@2201,33%@2201,50%@2201,0%@2201,50%@2201,100%@2201,50%@2035,50%@2035,33%@2035,33%@2035] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.843C tboard@31.25C soc2@38.437C tdiode@31.5C soc0@38.218C tj@42.843C soc1@37.093C VDD_GPU_SOC 1990mW/1730mW VDD_CPU_CV 3184mW/1436mW VIN_SYS_5V0 3028mW/2883mW VDDQ_VDD2_1V8AO 604mW/512mW
09-08-2024 03:35:14 RAM 12941/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1958,0%@1958,0%@1958,0%@1728,0%@2201,0%@2201,0%@2201,100%@2201,0%@1651,0%@1651,0%@1651,0%@1651] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.468C tboard@31.25C soc2@38.437C tdiode@31.5C soc0@38.25C tj@42.468C soc1@37.156C VDD_GPU_SOC 1990mW/1741mW VDD_CPU_CV 3184mW/1509mW VIN_SYS_5V0 3028mW/2889mW VDDQ_VDD2_1V8AO 604mW/516mW
09-08-2024 03:35:14 RAM 12943/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,0%@1420,0%@2201,0%@2201,0%@2201,100%@2201,0%@1267,0%@1267,0%@1267,0%@1267] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@42.125C tboard@31.25C soc2@38.312C tdiode@31.5C soc0@38.312C tj@42.125C soc1@37.125C VDD_GPU_SOC 1990mW/1751mW VDD_CPU_CV 3185mW/1576mW VIN_SYS_5V0 3028mW/2894mW VDDQ_VDD2_1V8AO 604mW/519mW
09-08-2024 03:35:14 RAM 12945/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1420,0%@1420,0%@1420,0%@1420,0%@2201,0%@2201,0%@2201,100%@2201,0%@1036,0%@1036,0%@1036,0%@1036] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.906C tboard@31.25C soc2@38.312C tdiode@31.5C soc0@38.218C tj@41.906C soc1@37.406C VDD_GPU_SOC 1990mW/1760mW VDD_CPU_CV 3185mW/1638mW VIN_SYS_5V0 3028mW/2899mW VDDQ_VDD2_1V8AO 604mW/523mW
09-08-2024 03:35:14 RAM 12947/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [50%@806,0%@806,0%@806,0%@806,0%@2201,0%@2201,0%@2201,100%@2201,0%@806,33%@806,0%@806,0%@806] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.906C tboard@31.25C soc2@38.156C tdiode@31.5C soc0@38.281C tj@41.906C soc1@37.187C VDD_GPU_SOC 1990mW/1768mW VDD_CPU_CV 3185mW/1695mW VIN_SYS_5V0 3028mW/2904mW VDDQ_VDD2_1V8AO 604mW/526mW
09-08-2024 03:35:14 RAM 12949/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1574,0%@1574,0%@1574,0%@1574,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.875C tboard@31.25C soc2@38.187C tdiode@31.5C soc0@38.281C tj@41.875C soc1@37.187C VDD_GPU_SOC 1991mW/1776mW VDD_CPU_CV 3185mW/1748mW VIN_SYS_5V0 3028mW/2908mW VDDQ_VDD2_1V8AO 604mW/528mW
09-08-2024 03:35:14 RAM 12950/62841MB (lfb 91x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@1036,0%@1036,0%@1036,0%@1036,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@41.687C tboard@31.25C soc2@38.187C tdiode@31.5C soc0@38.187C tj@41.687C soc1@37.406C VDD_GPU_SOC 1991mW/1784mW VDD_CPU_CV 3185mW/1798mW VIN_SYS_5V0 3028mW/2913mW VDDQ_VDD2_1V8AO 604mW/531mW
